UMAP_D1,concentration,UMAP_D2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Entropy,Hyperflatness,Hyperskewness,Kurtosis,Mean,Median,Mode,Skewness,StandardDeviation,TContrast_Avg,TContrast_Ortho_pc_value,TContrast_pc_angle,TContrast_pc_value,TCorrelation_Avg,TCorrelation_Ortho_pc_value,TCorrelation_pc_angle,TCorrelation_pc_value,TDiffAvg_Avg,TDiffAvg_Ortho_pc_value,TDiffAvg_pc_angle,TDiffAvg_pc_value,TDiffEnt_Avg,TDiffEnt_Ortho_pc_value,TDiffEnt_pc_angle,TDiffEnt_pc_value,TDiffVariance_Avg,TDiffVariance_Ortho_pc_value,TDiffVariance_pc_angle,TDiffVariance_pc_value,TEnergy_Avg,TEnergy_Ortho_pc_value,TEnergy_pc_angle,TEnergy_pc_value,TEnt_Avg,TEnt_Ortho_pc_value,TEnt_pc_angle,TEnt_pc_value,THomogeneity_Avg,THomogeneity_Ortho_pc_value,THomogeneity_pc_angle,THomogeneity_pc_value,TInvDiffMoment_Avg,TInvDiffMoment_Ortho_pc_value,TInvDiffMoment_pc_angle,TInvDiffMoment_pc_value,TSumAvg_Avg,TSumAvg_Ortho_pc_value,TSumAvg_pc_angle,TSumAvg_pc_value,TSumEnt_Avg,TSumEnt_Ortho_pc_value,TSumEnt_pc_angle,TSumEnt_pc_value,TSumVariance_Avg,TSumVariance_Ortho_pc_value,TSumVariance_pc_angle,TSumVariance_pc_value,TVariance_Avg,TVariance_Ortho_pc_value,TVariance_pc_angle,TVariance_pc_value,dmso_control,positive_control,negative_control,has_drug
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C
0.74602,16,5.87057,-2.245824575,2.097337723,-1.77570653,-0.222194687,-0.796985507,0.547976971,0.446436137,0.256434679,0.187163293,-0.441296011,5.24781583,1687.648325,191.9808733,24.82635569,862.2779388,646,231,3.703515904,848.2650531,0.060672906,0.06692721,30,0.068844864,0.8712112,0.886037293,135,0.88842486,0.056690833,0.062365472,60,0.062763186,0.81999392,0.837069806,60,0.839001216,0.235552436,0.235552008,90,0.2356088,0.790639004,0.7943831,45,0.794385992,0.81999392,0.837069806,60,0.839001216,0.972284592,0.975093651,135,0.975108395,0.972051979,0.974924015,135,0.974976791,0.263348946,0.263238591,90,0.263577184,0.81999392,0.837069806,60,0.839001216,0.881536839,0.888463352,135,0.889584078,0.235552436,0.235552008,90,0.2356088,0,0,0,1
2.18771,16,-1.31833,-3.04323864,1.001069069,-1.688041568,-0.289319783,0.198383972,0.465533972,0.480524272,0.132158875,0.015899759,-0.308760375,5.097818881,4331.294167,389.2372598,38.7421277,822.1872301,607,236,4.505663414,822.4915425,0.051232872,0.056300086,60,0.058091239,0.87162038,0.88600955,135,0.887304371,0.049167763,0.053756629,60,0.054466765,0.70590524,0.72079422,60,0.722383111,0.199530933,0.199593757,60,0.199649942,0.8207377,0.82395007,45,0.824426495,0.70590524,0.72079422,60,0.722383111,0.975754676,0.978169524,135,0.978183566,0.97562263,0.978080277,135,0.978117042,0.212261348,0.212277016,60,0.212366143,0.70590524,0.72079422,60,0.722383111,0.746890859,0.752558693,135,0.753069661,0.199530933,0.199593757,60,0.199649942,0,0,0,1
-2.87603,16,-5.86483,-4.623543262,-2.651708126,3.09599638,-0.79478991,0.118725561,0.201200649,0.419399977,0.251578748,0.01569278,0.00298049,4.599171917,5945.410175,463.878006,41.79256975,832.5932264,557,236,4.667763822,925.1309572,0.025411902,0.027657931,150,0.029147204,0.878529733,0.890949896,45,0.895856372,0.024288303,0.026128407,150,0.027450928,0.427209039,0.434310323,150,0.438085255,0.104598327,0.104645827,60,0.104653045,0.901220909,0.902680637,45,0.903263519,0.427209039,0.434310323,150,0.438085255,0.988034198,0.989088631,45,0.989541407,0.98796805,0.989042436,45,0.989502759,0.117511563,0.117524165,60,0.117564415,0.427209039,0.434310323,150,0.438085255,0.392981407,0.395551724,45,0.396578068,0.104598327,0.104645827,60,0.104653045,0,0,0,1
-2.32578,16,-5.07977,-4.009459972,-1.833180904,3.251496315,-0.17551069,0.061833538,-0.628436267,0.367911965,0.02261257,-1.383808613,-0.142433345,4.743336397,7827.359051,638.9855412,56.37391823,672.1140347,450,226,5.674719064,733.8770201,0.027364355,0.028901867,150,0.03249184,0.909840446,0.916955231,45,0.925749246,0.026089245,0.027525679,150,0.030132386,0.459897086,0.464099383,150,0.474346866,0.151755855,0.15170155,90,0.151820085,0.893891089,0.894893137,45,0.896689321,0.459897086,0.464099383,150,0.474346866,0.987161989,0.988048086,45,0.989064297,0.987082889,0.987984881,45,0.989032288,0.137683788,0.137741223,0,0.137768005,0.459897086,0.464099383,150,0.474346866,0.579659067,0.581856337,45,0.584525598,0.151755855,0.15170155,90,0.151820085,0,0,0,1
-3.817,16,1.18969,-0.726536334,1.382346511,2.411533356,0.677515209,-1.054827809,-1.40173924,0.205342695,0.381905377,-0.639116108,-0.033392925,4.734405811,1673.993306,202.2030476,26.74647842,612.6289892,301,208,4.005257898,732.4205433,0.061660133,0.068426066,120,0.07079127,0.890338777,0.904288087,45,0.905466478,0.056251371,0.061294038,120,0.06285998,0.851343818,0.867144898,120,0.872424632,0.281130406,0.281208351,120,0.281291525,0.781572537,0.785115937,45,0.785254733,0.851343818,0.867144898,120,0.872424632,0.972722986,0.975374236,45,0.975595031,0.972413928,0.975166359,45,0.975399832,0.289357113,0.289444177,60,0.289478678,0.851343818,0.867144898,120,0.872424632,1.062861492,1.070650051,45,1.071312579,0.281130406,0.281208351,120,0.281291525,0,0,0,1
1.34586,8,0.505768,-3.233492613,-1.758340478,2.289959669,0.45100823,-0.98158437,-2.034513474,-1.622665286,-0.256944388,-0.579825222,-0.199194834,3.948545772,3090.529722,321.6254678,36.80370217,471.4786243,228,205,4.832907296,597.8667057,0.03438875,0.038801605,30,0.039381405,0.896841322,0.910541724,45,0.911173653,0.031468318,0.034084614,150,0.035448344,0.536928494,0.545715598,150,0.550763473,0.166673943,0.166748449,120,0.166751896,0.873992243,0.875814644,45,0.876488873,0.536928494,0.545715598,150,0.550763473,0.984724993,0.98620014,45,0.986470672,0.984556562,0.986099525,45,0.986355075,0.165469022,0.165519204,60,0.165541246,0.536928494,0.545715598,150,0.550763473,0.632307021,0.636808131,45,0.637018761,0.166673943,0.166748449,120,0.166751896,0,0,0,1
1.37022,16,-6.11114,-6.609175682,-6.736129761,2.038698673,1.430670857,0.77179873,-2.963758469,0.029977081,-0.820437551,1.947789431,-0.328635097,3.872070183,724837.4921,17774.00662,455.8709604,116.2164726,116,116,12.51673013,6.335125501,0.00075605,0.000762845,150,0.000981349,0.921804666,0.930669124,45,0.938790741,0.000632663,0.000636343,150,0.000759012,0.013449917,0.013524416,150,0.013777432,0.004834047,0.004837985,30,0.004837985,0.998262038,0.998281306,45,0.998290874,0.013449917,0.013524416,150,0.013777432,0.999704113,0.999702297,90,0.999743664,0.999696007,0.999693736,90,0.999739456,0.003242324,0.003244967,120,0.003244967,0.013449917,0.013524416,150,0.013777432,0.018580136,0.018662826,45,0.018741334,0.004834047,0.004837985,30,0.004837985,0,0,0,1
-2.70009,16,-7.0636,-3.268006325,-0.240188405,1.961247802,0.309707254,0.454673171,-1.142185569,0.24006182,0.189995423,0.033466049,0.077261671,4.556625051,4732.857471,442.0447864,45.07377053,630.2712307,356,225,5.271343757,778.8217145,0.037551071,0.042597622,120,0.04339401,0.910294621,0.923462996,45,0.924016836,0.032543314,0.035847017,120,0.036388484,0.557263672,0.568397074,120,0.570390447,0.209294083,0.209330821,60,0.209456355,0.872099686,0.87412294,135,0.874269627,0.557263672,0.568397074,120,0.570390447,0.984492988,0.986085681,45,0.9862074,0.984226531,0.985903402,45,0.986028102,0.182713137,0.182723472,60,0.182833682,0.557263672,0.568397074,120,0.570390447,0.799625261,0.805075342,45,0.805310166,0.209294083,0.209330821,60,0.209456355,0,0,0,1
2.28198,16,9.10093,-0.293921679,4.273581982,-1.714512825,0.432157159,-0.684562147,0.090839066,0.410760909,-0.568066359,0.254291415,-0.020753339,5.315327505,1140.142272,146.2933011,20.83093754,755.6858997,507,217,3.331465577,751.7348832,0.070062001,0.077117327,60,0.079431738,0.892087026,0.904315255,135,0.906574399,0.067575164,0.073596355,60,0.075550427,1.065626681,1.084501366,60,1.09142949,0.324623593,0.324285566,90,0.32508475,0.701078522,0.705254072,135,0.70633131,1.065626681,1.084501366,60,1.09142949,0.966615963,0.969937389,135,0.97055444,0.966461068,0.969838983,135,0.970468959,0.388657422,0.388214679,90,0.389117593,1.065626681,1.084501366,60,1.09142949,1.22843237,1.23638022,135,1.237846973,0.324623593,0.324285566,90,0.32508475,0,0,0,1
0.812513,1,9.75156,0.198836327,3.489735126,-1.267028928,-0.114855796,2.200094938,1.310448885,-2.705895662,0.093604058,-0.524342358,0.550266564,5.427751449,777.3019008,108.1009354,16.93730039,803.4161663,577,235,2.954701981,749.7206288,0.075014234,0.081542979,60,0.08596384,0.876526035,0.889996705,135,0.892527545,0.072623961,0.078317179,60,0.082101696,1.098259876,1.115980685,60,1.128132172,0.303779613,0.303121893,0,0.30459038,0.689155948,0.693472735,135,0.694710673,1.098259876,1.115980685,60,1.128132172,0.964070263,0.967523118,135,0.968153812,0.963926449,0.967437606,135,0.968078879,0.393679234,0.393109926,0,0.394230916,1.098259876,1.115980685,60,1.128132172,1.140104217,1.139975176,0,1.151375646,0.303779613,0.303121893,0,0.30459038,0,0,0,1
