dataset_id, x_axis_id, y_axis_id, x_axis_name, y_axis_name, title, length, width, global_row, global_col
1, 66, 0, TSumVariance_Ortho_pc_value, UMAP_D1, default title, 512, 512, 13, 1
1, 67, 0, TSumVariance_pc_angle, UMAP_D1, default title, 512, 512, 14, 1
1, 68, 0, TSumVariance_pc_value, UMAP_D1, default title, 512, 512, 15, 1
1, 69, 0, TVariance_Avg, UMAP_D1, default title, 512, 512, 16, 1
1, 70, 0, TVariance_Ortho_pc_value, UMAP_D1, default title, 512, 512, 17, 1
1, 71, 0, TVariance_pc_angle, UMAP_D1, default title, 512, 512, 18, 1
1, 72, 0, TVariance_pc_value, UMAP_D1, default title, 512, 512, 19, 1
1, 73, 0, concentration, UMAP_D1, default title, 512, 512, 20, 1
1, 2, 1, PC1, UMAP_D2, default title, 512, 512, 21, 1
1, 3, 1, PC2, UMAP_D2, default title, 512, 512, 22, 1
1, 4, 1, PC3, UMAP_D2, default title, 512, 512, 23, 1
1, 5, 1, PC4, UMAP_D2, default title, 512, 512, 24, 1
1, 6, 1, PC5, UMAP_D2, default title, 512, 512, 25, 1
1, 7, 1, PC6, UMAP_D2, default title, 512, 512, 26, 1
1, 8, 1, PC7, UMAP_D2, default title, 512, 512, 27, 1
1, 9, 1, PC8, UMAP_D2, default title, 512, 512, 28, 1
1, 10, 1, PC9, UMAP_D2, default title, 512, 512, 29, 1
1, 11, 1, PC10, UMAP_D2, default title, 512, 512, 30, 1
1, 12, 1, Entropy, UMAP_D2, default title, 512, 512, 31, 1
1, 13, 1, Hyperflatness, UMAP_D2, default title, 512, 512, 32, 1
1, 14, 1, Hyperskewness, UMAP_D2, default title, 512, 512, 33, 1
1, 15, 1, Kurtosis, UMAP_D2, default title, 512, 512, 34, 1
1, 16, 1, Mean, UMAP_D2, default title, 512, 512, 35, 1
1, 17, 1, Median, UMAP_D2, default title, 512, 512, 36, 1
1, 18, 1, Mode, UMAP_D2, default title, 512, 512, 37, 1
1, 19, 1, Skewness, UMAP_D2, default title, 512, 512, 38, 1
1, 20, 1, StandardDeviation, UMAP_D2, default title, 512, 512, 39, 1
1, 21, 1, TContrast_Avg, UMAP_D2, default title, 512, 512, 40, 1
1, 22, 1, TContrast_Ortho_pc_value, UMAP_D2, default title, 512, 512, 41, 1
1, 23, 1, TContrast_pc_angle, UMAP_D2, default title, 512, 512, 42, 1
1, 24, 1, TContrast_pc_value, UMAP_D2, default title, 512, 512, 43, 1
1, 25, 1, TCorrelation_Avg, UMAP_D2, default title, 512, 512, 44, 1
1, 26, 1, TCorrelation_Ortho_pc_value, UMAP_D2, default title, 512, 512, 45, 1
1, 27, 1, TCorrelation_pc_angle, UMAP_D2, default title, 512, 512, 46, 1
1, 28, 1, TCorrelation_pc_value, UMAP_D2, default title, 512, 512, 47, 1
1, 29, 1, TDiffAvg_Avg, UMAP_D2, default title, 512, 512, 48, 1
1, 30, 1, TDiffAvg_Ortho_pc_value, UMAP_D2, default title, 512, 512, 49, 1
