CPT_AngularSecondMoment_3_0,CPT_AngularSecondMoment_3_135,CPT_AngularSecondMoment_3_45,CPT_AngularSecondMoment_3_90,CPT_Contrast_3_0,CPT_Contrast_3_135,CPT_Contrast_3_45,CPT_Contrast_3_90,CPT_Correlation_3_0,CPT_Correlation_3_135,CPT_Correlation_3_45,CPT_Correlation_3_90,CPT_DifferenceEntropy_3_0,CPT_DifferenceEntropy_3_135,CPT_DifferenceEntropy_3_45,CPT_DifferenceEntropy_3_90,CPT_DifferenceVariance_3_0,CPT_DifferenceVariance_3_135,CPT_DifferenceVariance_3_45,CPT_DifferenceVariance_3_90,CPT_Entropy_3_0,CPT_Entropy_3_135,CPT_Entropy_3_45,CPT_Entropy_3_90,CPT_Gabor_3,CPT_InfoMeas1_3_0,CPT_InfoMeas1_3_135,CPT_InfoMeas1_3_45,CPT_InfoMeas1_3_90,CPT_InfoMeas2_3_0,CPT_InfoMeas2_3_135,CPT_InfoMeas2_3_45,CPT_InfoMeas2_3_90
0.5,0,0,0,18.5,0,0,0,-1,0,0,0,0.693147180559945,0,0,0,6.25,0,0,0,0.693147180559945,0,0,0,535.156961185071,-1,0,0,0,0.866025403784438,0,0,0
0.101176126817152,0.113850442137639,0.10705,0.097560493827161,1.85042735042735,0.475490196078431,4.545,1.09777777777778,0.938619627427908,0.952894454444431,0.891379079203582,0.948790512175463,1.2236431361108,0.77585747317752,1.53093765371895,1.05952716405893,0.754200452918402,0.317834486735871,1.499975,0.56,2.51624415272573,2.58720736479219,2.54704588861261,2.62148775789518,3.17362545898436,-0.568271660161306,-0.603069766913121,-0.417208377085545,-0.543558883493155,0.944907555278886,0.950815042114663,0.893668441621107,0.935285431567159
0.25,0,0,0,22.25,0,0,0,-0.717137165600636,0,0,0,1.03972077083992,0,0,0,4.1875,0,0,0,1.38629436111989,0,0,0,100.399100545358,-0.749999999999999,0,0,0,0.935414346693485,0,0,0
0.0574506662169,0.05968669442792,0.054630602090184,0.064563736378408,2.46753246753247,2.58536585365854,3.42323651452282,1.81467181467181,0.450634873178631,0.439340790604678,0.268190277080921,0.611886270917555,1.36477278701028,1.38466024927246,1.45250598589851,1.23647793868686,1.11650362624389,1.11791922797277,1.17945627657926,0.775689092291409,3.15401651832603,3.08173506038409,3.14900755954576,3.02414046690269,8.2434356953279,-0.147360752363718,-0.146909566265455,-0.101513158289349,-0.195293789959638,0.628592203461145,0.632702815236577,0.544189620990929,0.702416665274833
0.075013850415513,0.055914457562932,0.136679230311446,0.101135749053542,4.28421052631579,9.3134328358209,1.63380281690141,2.1046511627907,0.721803089357114,0.386619186210302,0.849908430279889,0.843433163144632,1.57683061114958,1.84647154337777,1.20469751893339,1.32172546589997,1.69041551246537,2.72310091334373,0.769688553858362,1.03366684694429,2.99214982776784,3.03845639101566,2.4372256768348,2.82547529974878,4.73692241970416,-0.263569935214979,-0.141980196212603,-0.46913075022844,-0.338383711915977,0.807653629606684,0.665310395832035,0.901456135803479,0.84295972911756
0.5,0,0,0,22.5,0,0,0,0,0,0,0,0.693147180559945,0,0,0,2.25,0,0,0,0.693147180559945,0,0,0,212.768241901381,0,0,0,0,0,0,0,0
0.101522491349481,0.121530612244898,0.083498219232291,0.134220701963117,3.25294117647059,3.70714285714286,4.74436090225564,1.6890243902439,0.511603229638241,0.535795440294287,0.354373426699465,0.84834044650201,1.46593984413828,1.5311793578517,1.61350929108489,1.21883636230838,1.62356401384083,1.72709183673469,1.98326643676861,1.03134295062463,2.74908189981382,2.48928002936263,2.95894413595355,2.60124479174229,5.9476739210877,-0.261475290409141,-0.161162859265971,-0.233217713197451,-0.353770358909128,0.768402531728281,0.649506428332193,0.740186973227866,0.845641631705283
0.333333333333333,0,1,0.12,40.3333333333333,0,49,5,0.499999999999998,0,0,0.502518907629604,0.636514168294812,0,-2.22044604925031E-16,1.50478828368119,0.222222222222222,0,0,1.76,1.09861228866811,0,-2.22044604925031E-16,2.16395565688205,93.1979757825016,-0.27401754212128,0,0,-0.578228242149427,0.542667873885553,0,0,0.922232230648082
0.079719387755102,0.140495867768595,0.08641975308642,0.074792243767313,4.125,2.45454545454545,11.1111111111111,0.947368421052632,0.696240887093548,0.907569912856482,0.248214865527886,0.932341249741676,1.53381316303501,1.2636544318821,1.22831035216088,0.942674961563938,1.59917091836735,1.05785123966942,0.728395061728395,0.404432132963989,2.80312194529389,2.01981499249294,2.55323700299371,2.65258753472014,28.3535146541563,-0.330630604273673,-0.667262796477816,-0.482100031796344,-0.639832957582566,0.835740819848758,0.95923215006865,0.916814825399456,0.959829198871523
0.049886621315193,0.096952908587258,0.092627599243856,0.064471879286694,5.38095238095238,7.63157894736842,3.56521739130435,3.7037037037037,-0.179893203801737,-0.703642092805409,0.297890840288069,0.246541209329289,1.58728892475436,1.82245668650523,1.27589387825919,1.39430925591751,1.56916099773243,2.97506925207756,1.11531190926276,1.0480109739369,3.08125201783144,2.45158306052178,2.5020315278797,2.81435918475086,31.8823454067666,-0.171620665523023,-0.42310689356587,-0.438153561844835,-0.179559472837401,0.673481749981617,0.874335876469961,0.874298097076339,0.688066915610313
